time	value	variableName	run
5.35	  4.779	P	1
5.40	  0.209	V	1
5.40	  4.543	P	1
5.45	  0.206	V	1
5.45	  4.318	P	1
5.50	  0.204	V	1
5.50	  4.104	P	1
5.55	  0.204	V	1
5.55	  3.901	P	1
5.60	  0.204	V	1
5.60	  3.708	P	1
5.65	  0.206	V	1
5.65	  3.525	P	1
5.70	  0.208	V	1
5.70	  3.350	P	1
5.75	  0.212	V	1
5.75	  3.184	P	1
5.80	  0.216	V	1
5.80	  3.027	P	1
5.85	  0.221	V	1
5.85	  2.877	P	1
5.90	  0.227	V	1
5.90	  2.735	P	1
5.95	  0.235	V	1
5.95	  2.600	P	1
6.00	  0.243	V	1
6.00	  2.471	P	1
6.05	  0.252	V	1
6.05	  2.349	P	1
6.10	  0.263	V	1
6.10	  2.233	P	1
6.15	  0.274	V	1
6.15	  2.123	P	1
6.20	  0.287	V	1
6.20	  2.018	P	1
6.25	  0.301	V	1
6.25	  1.919	P	1
6.30	  0.317	V	1
6.30	  1.824	P	1
6.35	  0.334	V	1
6.35	  1.735	P	1
6.40	  0.353	V	1
6.40	  1.649	P	1
6.45	  0.374	V	1
6.45	  1.568	P	1
6.50	  0.397	V	1
6.50	  1.491	P	1
6.55	  0.421	V	1
6.55	  1.418	P	1
6.60	  0.449	V	1
6.60	  1.349	P	1
6.65	  0.478	V	1
6.65	  1.283	P	1
6.70	  0.511	V	1
6.70	  1.220	P	1
6.75	  0.546	V	1
6.75	  1.161	P	1
6.80	  0.585	V	1
6.80	  1.104	P	1
6.85	  0.628	V	1
6.85	  1.051	P	1
6.90	  0.674	V	1
6.90	  1.000	P	1
6.95	  0.724	V	1
6.95	  0.952	P	1
7.00	  0.780	V	1
7.00	  0.906	P	1
7.05	  0.840	V	1
7.05	  0.862	P	1
7.10	  0.906	V	1
7.10	  0.821	P	1
7.15	  0.978	V	1
7.15	  0.782	P	1
7.20	  1.056	V	1
7.20	  0.745	P	1
7.25	  1.142	V	1
7.25	  0.709	P	1
7.30	  1.236	V	1
7.30	  0.676	P	1
7.35	  1.339	V	1
7.35	  0.644	P	1
7.40	  1.452	V	1
7.40	  0.614	P	1
7.45	  1.574	V	1
7.45	  0.586	P	1
7.50	  1.709	V	1
7.50	  0.559	P	1
7.55	  1.856	V	1
7.55	  0.533	P	1
7.60	  2.017	V	1
7.60	  0.509	P	1
7.65	  2.193	V	1
7.65	  0.486	P	1
7.70	  2.385	V	1
7.70	  0.464	P	1
7.75	  2.596	V	1
7.75	  0.444	P	1
7.80	  2.827	V	1
7.80	  0.425	P	1
7.85	  3.080	V	1
7.85	  0.406	P	1
7.90	  3.356	V	1
7.90	  0.389	P	1
7.95	  3.659	V	1
7.95	  0.373	P	1
8.00	  3.991	V	1
8.00	  0.358	P	1
8.05	  4.354	V	1
8.05	  0.343	P	1
8.10	  4.753	V	1
8.10	  0.330	P	1
8.15	  5.189	V	1
8.15	  0.317	P	1
8.20	  5.666	V	1
8.20	  0.306	P	1
8.25	  6.190	V	1
8.25	  0.295	P	1
8.30	  6.763	V	1
8.30	  0.285	P	1
8.35	  7.391	V	1
8.35	  0.275	P	1
8.40	  8.079	V	1
8.40	  0.266	P	1
8.45	  8.834	V	1
8.45	  0.259	P	1
8.50	  9.660	V	1
8.50	  0.251	P	1
8.55	 10.565	V	1
8.55	  0.245	P	1
